name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000069998.12,ENSG00000069998,141.3,42.7,98.7,2.3,1.2,7.6e-07,1.0e-04,0,0,40,47,41,87,86,123
ENSG00000100216.5,ENSG00000100216,193.7,68.7,125,1.821,0.9,7.8e-07,1.0e-04,0,0,70,73,63,122,116,137
ENSG00000242247.10,ENSG00000242247,194.3,65,129.3,1.972,1,8.1e-07,2.0e-04,0,0,71,70,54,125,151,112
ENSG00000179750.15,ENSG00000179750,16.7,0.3,16.3,30.833,4.9,8.1e-07,2.0e-04,0,0,1,0,0,16,20,13
ENSG00000100146.16,ENSG00000100146,218.7,137.7,81,0.585,-0.8,1.0e-06,2.0e-04,0,0,123,148,142,81,81,81
ENSG00000186716.19,ENSG00000186716,553.7,333.7,220,0.656,-0.6,1.0e-06,2.0e-04,0,0,284,368,349,216,213,231
ENSG00000100410.7,ENSG00000100410,118.7,34,84.7,2.505,1.3,1.1e-06,2.0e-04,0,0,45,37,20,94,83,77
ENSG00000188511.12,ENSG00000188511,24.7,3,21.7,6.548,2.7,1.3e-06,2.0e-04,0,0,3,4,2,23,23,19
ENSG00000239713.7,ENSG00000239713,31.7,5.3,26.3,4.878,2.3,1.7e-06,3.0e-04,0,0,7,5,4,28,28,23
ENSG00000100372.14,ENSG00000100372,142,47.3,94.7,1.99,1,1.9e-06,3.0e-04,0,0,48,43,51,81,101,102
ENSG00000169184.5,ENSG00000169184,141.3,44.7,96.7,2.172,1.1,2.0e-06,4.0e-04,0,0,59,37,38,84,96,110
ENSG00000211666.2,ENSG00000211666,13.3,0,13.3,107.624,6.7,2.2e-06,4.0e-04,0,0,0,0,0,15,13,12
ENSG00000128311.13,ENSG00000128311,78.7,22.3,56.3,2.52,1.3,2.9e-06,5.0e-04,0,0,23,23,21,61,64,44
ENSG00000185608.8,ENSG00000185608,109,36.7,72.3,1.972,1,3.0e-06,5.0e-04,0,0,37,37,36,74,70,73
ENSG00000196588.14,ENSG00000196588,227.7,146.7,81,0.563,-0.8,3.1e-06,5.0e-04,0,0,178,141,121,86,76,81
ENSG00000100228.12,ENSG00000100228,48.3,36,12.3,0.342,-1.5,3.4e-06,6.0e-04,0,0,37,32,39,12,13,12
ENSG00000128228.4,ENSG00000128228,44.3,8.7,35.7,3.986,2,3.6e-06,6.0e-04,0,0,7,15,4,34,35,38
ENSG00000075234.16,ENSG00000075234,98.7,30.3,68.3,2.219,1.2,3.7e-06,6.0e-04,0,0,37,31,23,61,72,72
ENSG00000188636.3,ENSG00000188636,402.7,243,159.7,0.655,-0.6,4.5e-06,8.0e-04,0,0,233,283,213,163,157,159
ENSG00000100225.17,ENSG00000100225,554,217.3,336.7,1.54,0.6,5.4e-06,9.0e-04,0,0,217,193,242,295,392,323
ENSG00000128335.13,ENSG00000128335,259.3,157,102.3,0.647,-0.6,6.0e-06,1.0e-03,0,0,147,160,164,97,111,99
ENSG00000133460.19,ENSG00000133460,89,62,27,0.416,-1.3,7.0e-06,1.2e-03,0,0,71,62,53,19,36,26
ENSG00000213923.10,ENSG00000213923,651,272.7,378.3,1.4,0.5,7.2e-06,1.2e-03,0,0,308,245,265,395,353,387
ENSG00000077942.17,ENSG00000077942,142.7,49.3,93.3,1.88,0.9,7.3e-06,1.2e-03,0,0,58,51,39,83,96,101
ENSG00000100281.13,ENSG00000100281,140.3,48.7,91.7,1.856,0.9,8.1e-06,1.3e-03,0,0,41,48,57,83,103,89
ENSG00000100422.13,ENSG00000100422,493.3,290.7,202.7,0.7,-0.5,8.6e-06,1.4e-03,0,0,276,267,329,201,194,213
ENSG00000198355.4,ENSG00000198355,171.3,65,106.3,1.635,0.7,1.0e-05,1.7e-03,0,0,64,63,68,108,108,103
ENSG00000100092.20,ENSG00000100092,78.3,24.7,53.7,2.226,1.2,1.0e-05,1.7e-03,0,0,29,19,26,58,52,51
ENSG00000184117.11,ENSG00000184117,331.7,137,194.7,1.42,0.5,1.3e-05,2.2e-03,0,0,134,136,141,193,195,196
ENSG00000099977.13,ENSG00000099977,82.7,25.3,57.3,2.3,1.2,1.5e-05,2.5e-03,0,0,31,20,25,48,55,69
ENSG00000100418.7,ENSG00000100418,317,188.7,128.3,0.676,-0.6,1.6e-05,2.6e-03,0,0,169,201,196,129,139,117
ENSG00000100347.14,ENSG00000100347,153,53.7,99.3,1.825,0.9,1.7e-05,2.7e-03,0,0,54,48,59,89,120,89
ENSG00000100258.17,ENSG00000100258,205.3,78.3,127,1.608,0.7,1.7e-05,2.7e-03,0,0,72,78,85,118,120,143
ENSG00000100068.11,ENSG00000100068,30.3,6.3,24,3.719,1.9,1.7e-05,2.7e-03,0,0,9,4,6,27,23,22
ENSG00000185022.11,ENSG00000185022,91.3,30,61.3,2.062,1,1.8e-05,2.8e-03,0,0,40,27,23,64,61,59
ENSG00000099910.16,ENSG00000099910,136.7,86,50.7,0.588,-0.8,2.0e-05,3.2e-03,0,0,78,85,95,51,51,50
ENSG00000240972.1,ENSG00000240972,66,20.3,45.7,2.226,1.2,2.7e-05,4.2e-03,0,0,19,24,18,43,41,53
ENSG00000099917.17,ENSG00000099917,297.7,121.7,176,1.449,0.5,3.1e-05,4.7e-03,1e-04,0,127,126,112,179,161,188
ENSG00000244486.7,ENSG00000244486,30.3,6,24.3,3.968,2,3.2e-05,4.9e-03,1e-04,0,11,5,2,22,22,29
ENSG00000197077.12,ENSG00000197077,278.3,165.3,113,0.685,-0.5,3.3e-05,5.0e-03,1e-04,0,169,164,163,109,103,127
ENSG00000183579.15,ENSG00000183579,199.3,122,77.3,0.623,-0.7,3.5e-05,5.2e-03,1e-04,0,128,113,125,67,92,73
ENSG00000183172.8,ENSG00000183172,57.7,40,17.7,0.438,-1.2,3.9e-05,5.8e-03,1e-04,0,32,46,42,17,16,20
ENSG00000128274.15,ENSG00000128274,29,6,23,3.78,1.9,4.3e-05,6.4e-03,1e-04,0,11,5,2,25,23,21
ENSG00000186998.15,ENSG00000186998,28.7,23,5.7,0.263,-1.9,4.5e-05,6.7e-03,1e-04,0,15,21,33,6,5,6
ENSG00000100271.16,ENSG00000100271,48,34.3,13.7,0.379,-1.4,4.6e-05,6.8e-03,1e-04,0,28,39,36,9,14,18
ENSG00000099899.14,ENSG00000099899,186.3,69.7,116.7,1.684,0.8,5.2e-05,7.6e-03,1e-04,0,68,83,58,130,94,126
ENSG00000100142.14,ENSG00000100142,30.7,23.7,7,0.313,-1.7,5.3e-05,7.7e-03,1e-04,0,20,31,20,8,7,6
ENSG00000100335.12,ENSG00000100335,318,131.7,186.3,1.429,0.5,6.7e-05,9.6e-03,1e-04,0,126,130,139,210,171,178
ENSG00000100036.12,ENSG00000100036,47.3,33.3,14,0.412,-1.3,6.8e-05,9.7e-03,1e-04,0,25,38,37,14,16,12
ENSG00000100220.11,ENSG00000100220,367.3,154.3,213,1.39,0.5,7.1e-05,1.0e-02,1e-04,0,146,164,153,231,190,218
